P,P_sigma,Rplanet,Rplanet_sigma,Teff,Teff_sigma,Rstar,Rstar_sigma
51.2069,0.0009,0.37,0.18,5288.0,44.0,0.728,0.028
228.776,0.028499999999999998,8.4493,0.0291,4450.0,150.0,0.6489,0.0013
105.599,0.0455,4.3,0.11,5623.0,50.0,1.752,0.0325
3.91405,4e-05,9.976,0.785,5000.0,150.0,0.82,0.05
131.458,0.091,8.16,0.157,5606.0,150.0,1.0284,0.00195
66.262,0.0225,4.347,0.099,4700.0,,0.7761,0.0092
138.317,0.0335,6.18,0.17,6407.0,150.0,1.734,0.044
3.1606296,1.57e-06,10.548,0.4655,4400.0,200.0,0.588,0.024
288.822,0.07200000000000001,8.564,0.14600000000000002,5913.0,130.0,1.1618,0.0029
3.352057,1.4e-05,16.7,1.905,6250.0,200.0,1.15,0.11
11.759,0.0063,5.0,0.5,4950.0,150.0,0.86,0.09
9.75598,0.00011,4.88,0.28,5939.0,87.0,1.136,0.064
14.0926796,0.0001748,1.82,0.205,5093.0,154.5,0.784,0.089
854.083,0.016625,5.5,0.8500000000000001,6091.0,188.5,1.01,0.1
31.8099,0.009260000000000001,4.1,2.05,6474.0,222.5,1.26,0.56
75.2,20.0,2.4,1.65,6474.0,222.5,1.26,0.56
1322.3,198.65,6.9,0.95,6175.0,181.0,1.01,0.11
54.4205407,0.0002856,4.76,1.1600000000000001,6488.0,71.61500000000001,1.66,0.321
509.997402,0.003256,2.19,0.15000000000000002,4736.0,80.78999999999999,0.63,0.0375
1107.5923,0.0227,11.8739,0.1377,6210.0,100.0,1.7903,0.0055
40.0603,0.006,2.7,0.27,5727.0,88.0,1.09,0.09
14.5662,0.0019,2.58,0.2,3769.0,57.0,0.51,0.03
6.98541,0.00075,2.15,0.33,4006.0,133.0,0.426,0.049
9.915615,0.001202,1.3,0.1,4695.0,50.0,0.71,0.03
637.2093,0.016149999999999998,3.64,0.455,5528.0,122.0,0.905339,
15.19423359,8.343e-05,3.69,0.71,5588.0,79.0,1.593,0.3065
2.337437946,1.951e-06,2.34,0.13,5005.0,79.0,0.765,0.0415
2.243380573,2.67e-06,1.99,0.11,4149.0,86.5,0.564,0.0315
66.6504521,0.0003951,1.56,0.07,4550.0,81.0,0.679,0.03
4.280963604,6.141e-06,2.3,0.385,5644.0,160.5,0.831,0.138
1.475323222,4.392e-06,5.88,1.41,4941.0,83.5,4.885,1.1684999999999999
3.728732147,9.36e-07,6.02,0.87,5497.0,157.5,0.809,0.117
38.3775486,0.0001602,2.82,0.355,5481.0,78.0,1.036,0.131
11.59822233,1.407e-05,2.65,0.25,3688.0,82.0,0.473,0.044
12.3935651,3.932e-05,2.66,0.385,5557.0,166.0,0.75,0.1085
7.275040844,4.677e-06,4.86,0.71,5485.0,172.0,0.867,0.127
6.575315881,3.726e-06,5.31,1.155,5992.0,171.0,0.989,0.21550000000000002
